,0,1,2,3,4,5
"down, right, false, up",81.13466998607794,0.0,17.006368909236862,0.0,0.0,7.695274158570646
"right, up, false, right",50.65726311930612,0.0,0.0,0.0,0.0,0.0
"left, left, false, right",27.46212124315659,71.31115155707167,6.597426251510534,66.9115005963552,11.903325703865953,9.326864933367482
"down, left, false, stop",44.470382589468834,12.932168607112414,0.0,0.0,16.086845172254975,11.220994741155115
"up, up, false, down",82.62508775689837,0.0,17.958723704069307,9.888577727595804,0.0,0.0
"right, down, false, up",0.0,0.0,16.22600044068725,43.582904193599106,0.0,0.0
"left, up, false, right",8.25426111012814,0.0,0.0,79.2372278184548,13.055951719341683,0.0
"left, down, false, stop",0.0,40.34721766858735,0.0,-2.5,0.0,0.0
"right, right, false, left",-5.0,89.02839152840778,0.0,17.41348156862162,0.0,0.0
"left, left, false, up",80.45577525345844,12.173245773034902,0.0,0.0,0.0,0.0
"up, right, false, down",30.524654503781804,0.0,0.0,0.0,0.0,0.0
"up, up, false, right",90.90547964163757,17.744261221182235,0.0,10.842860769047112,0.0,0.0
"down, right, false, stop",39.41610995613368,24.335291803786312,-2.5,13.853758465615076,0.0,0.0
"up, right, false, up",106.30921317035987,0.0,0.0,0.0,17.298625154494147,12.048625154494147
"up, left, false, up",107.3644035165811,0.0,0.0,0.0,0.0,0.0
"up, left, false, right",31.164737229403002,0.0,0.0,0.0,0.0,0.0
"none, left, false, down",-5.0,9.462262419126814,77.44191815845721,10.172384315654515,0.0,0.0
"left, met, false, right",-3.637634902091426,73.133777834282,0.0,0.0,0.0,-5.0
"down, down, false, left",16.6416388989765,0.0,0.0,0.0,0.0,0.0
"right, right, false, up",75.71168569808472,44.23574010885608,0.0,13.427438946730474,0.0,0.0
"left, up, false, left",32.69913164532082,0.0,0.0,98.55006444032367,0.0,0.0
"right, none, false, stop",-5.0,3.179722874109407,0.0,0.0,0.0,0.0
"right, none, false, none",-5.0,5.0,0.0,0.0,0.0,0.0
"down, none, false, none",-5.0,-1.6954126070926394,13.82988641911156,-3.691560570759346,0.0,0.0
"up, right, false, stop",-4.375,48.332068625264455,0.0,0.0,30.034026334464286,6.870789459209785
"right, up, false, stop",0.0,-2.5,40.795222296789845,12.376888481976465,17.457519284244828,0.0
"left, met, false, down",-5.0,-6.6779526298243495,55.547906523908665,0.0,0.0,0.0
"up, left, false, stop",-2.5,28.872633648702024,0.0,13.695090470186507,0.0,11.740729822463202
"left, down, false, up",76.8406459612906,13.105314392639412,0.0,21.96483807647796,0.0,0.0
"right, down, false, right",-5.0,91.90776718165085,0.0,0.0,11.212293494498356,0.0
"right, right, false, down",-7.699657408480006,71.39995630850291,0.0,0.0,0.0,0.0
"none, none, false, stop",-8.477010009017015,-8.485903714762475,-11.25,-13.125,21.885692153787836,-5.0
"none, none, false, none",-5.0,-2.3407835264965002,-6.6820447233867295,-8.544556919299303,1.722028221053739,0.0
"up, right, false, left",19.260248789053684,0.0,0.0,0.0,0.0,0.0
"left, down, false, right",-5.0,63.683493168929914,0.0,0.0,6.261125349158636,0.0
"right, down, false, stop",31.74707213061168,0.0,0.0,0.0,0.0,0.0
"up, met, false, right",45.34543466128589,0.0,0.0,-12.5,0.0,-1.1786031815678246
"up, up, false, left",0.0,0.0,2.0084783001805304,52.16266081495006,0.0,0.0
"left, met, false, up",71.52735713948557,0.0,0.0,0.0,0.0,0.0
"left, none, false, stop",-5.0,0.0,0.0,0.0,0.0,0.0
"left, none, false, none",-5.0,0.0,0.0,41.15729443392969,1.7135782992990003,0.0
"up, none, false, stop",5.0,0.0,0.0,0.0,0.0,0.0
"up, left, false, left",12.653433774248995,0.0,0.0,0.0,0.0,-1.7167560155793842
"right, met, false, down",-5.0,60.47236666919453,0.0,0.0,0.0,0.0
"right, up, false, down",31.817695187479167,0.0,0.0,0.0,0.0,-3.4098394628910187
"down, right, false, left",-5.0,9.701542579431361,0.0,0.0,0.0,0.0
"right, met, false, up",15.603501599697358,0.0,0.0,0.0,0.0,0.0
"right, down, false, left",-5.0,19.51796280609885,0.0,0.0,0.0,0.0
"down, left, false, left",12.798484744281367,0.0,0.0,0.0,0.0,0.0
"down, down, false, right",-5.0,57.863725741299724,0.0,0.0,0.0,0.0
"up, left, false, down",35.217076715514935,0.0,0.0,0.0,0.0,0.0
"up, met, false, left",25.734675652514078,0.0,0.0,0.0,0.0,0.0
"left, right, false, up",50.472640989438446,0.0,0.0,0.0,0.0,0.0
"down, met, false, right",-5.0,21.543593835903742,0.0,0.0,0.0,0.0
